OBJECTID,nazev,oznaceni,typ,nazev_vusc,kod_vusc,nazev_okresu,kod_okresu,nazev_orp,kod_orp,nazev_obce,kod_obce,wkt,x,y,dp_id
72,Trutnov hlavní nádraží,570200,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.566 15.9125),15.9125,50.566,ZST163
73,Rychnovek,567909,zastávka,Královéhradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Rychnovek,574406,POINT(50.3615 15.9703),15.9703,50.3615,ZST135
74,Trutnov střed,570408,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.5786 15.9465),15.9465,50.5786,ZST164
75,Křenov,573105,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Zlatá Olešnice,579866,POINT(50.639 15.9371),15.9371,50.639,ZST75
76,Libeč,570903,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.5972 15.9476),15.9476,50.5972,ZST82
77,Trutnov-Poříčí,570309,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.58 15.9599),15.9599,50.58,ZST159
78,Trutnov zastávka,570507,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.5787 15.9623),15.9623,50.5787,ZST165
79,Bernartice u Trutnova,573006,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Bernartice,579050,POINT(50.6478 15.96),15.96,50.6478,ZST4
80,Lhota u Trutnova,570606,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,POINT(50.5874 15.9877),15.9877,50.5874,ZST81
81,Královec,572800,stanice,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Královec,530808,POINT(50.6739 15.9719),15.9719,50.6739,ZST73
82,Velká Jesenice,575100,zastávka,Královéhradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Říkov,530786,POINT(50.3763 16.0305),16.0305,50.3763,ZST172
83,Suchovršice,574202,zastávka,Královéhradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Suchovršice,579726,POINT(50.5332 16.0069),16.0069,50.5332,ZST152
